id_iklan,tanggal_posting,status_iklan_terjual,judul,deskripsi,merek,model,tahun,transmisi,jarak_tempuh,harga,tipe_penjual_badge,lokasi
948343795,2026-09-23T12:11:50+07:00,Tersedia,BMW M4 Idrive 8 Full mods 850jt (KM seribu),"BMW M4 Competition G82 idrive 8

Matte Black (Wrapping) on Black Interior
Year 2023
Odometer : 1500 Km (jarang dipakai)
Mods 850jt++ 
Nawar dibawah 2.3 gadibales
-
Specifications & Options:
-
Performance:
3.0L TwinPower Turbo Inline-6 Engine
Automatic Transmission (M Steptronic)
Rear Wheel Drive (RWD)
Gintani ECU Remap 
Eventuri Carbon Intake System 
Akrapovic Full System Exhaust 
Extreme Performance Upgrade & Track Ready Setup
-Exterior:
Matte Black Wrapping 
M4 Full Body Conversion
Adro Front Bumper + Adro Front Lips carbon 
Side Skirt carbon 
M4 Fender (Part Number)
Hood Alpha N Performance (Carbon) 
Trunk Upgrade 
HRE Original Wheels 
Michelin Pilot Sport 5 Tires 
Original CSL Tail Lights 
Aggressive & Full Carbon Look
-Interior & Features:
Black Interior
Alcantara Steering Wheel 
Alcantara Armrest
Paddle Shift
Premium Sport Cabin
Driver-Oriented Cockpit
-
Handling & Supporting Mods:
KW Coilover Suspension
Strut Bar
Enhanced Stability & Handling Precision
Aircup stancelab 
Protection & Detailing:
Ppf matte
Full PPF (Paint Protection Film) 
SPPF Layer Protection",BMW,Lainnya,,Lainnya,0-5.000,2470000000.0,Individu,Jakarta D.K.I.
946918665,2026-08-07T10:02:54+07:00,Tersedia,DP RENDAH Toyota Raize 1.0 Turbo G Bensin-AT 2022 PVC,"""Kendaraan Pilihan Bergaransi 
 
 Toyota Raize 1.0 Turbo G Bensin-AT 2022 Putih
.
Harga Kredit : Rp 183,000,000
Harga Cash : Rp 186,000,000
.
TDP : Rp 15,000,000
.
Angsuran 4 tahun :  Ask me
Angsuran 5 tahun :  Ask me
.
Kunjungi Kami Di :
- OLXmobbi DEPOK Jl. Margonda Raya No. 23 Kota DEPOK
- Buka Setiap Hari - *Hari LIBUR/MINGGU Tetap Buka*
.
Bani - Sales Advisor
.
Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah

Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000!
Dapatkan juga TDP terendah Dan Promo Trade In Suka - Suka
(Terima Mobil merk dan Tahun Apapun Tanpa Syarat)
*S&K berlaku
.
Keunggulan Unit :
- Astra Certified
- Bebas Tabrak
- Bebas Banjir
- Kilometer Tidak Putaran
.
KEUNGGULAN UNIT
1. Pajak : 01 Aug 2025
2. Odometer : 59,359 km
3. Transmisi : AT
4. Atas Nama : PERORANGAN
5. Plat : GENAP
6. Warna : Putih
7. KN : PVC
.
.
Mohon lakukan pembayaran booking fee / pelunasan melalui No Rekening Bank BCA an PT. Serasi Mitra Mobil No. Rek: 2061/888/995
.                                                                                                                                                                                                                                                                                                                 TDP promo hanya Berlaku jika:
- BI checking Bersih (tidak pernah ada keterlambatan pembayaran)
- Rumah Milik Pribadi
- Pemasukan/Gaji= 3x Angsuran.
* Bisa di bantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku)
.

** MELAYANI HOME TEST DRIVE **

CARI MOBIL - PILIH YANG AHLI  :
OLXMobbi
Ahlinya Mobil Bekas Berkualitas
""",Toyota,Lainnya,,Lainnya,55.000-60.000,183000000.0,Individu,Jawa Barat
945858860,2026-09-19T11:48:12+07:00,Tersedia,WARRANTY FULL! BMW X3 M Sport 2024 xdrive30i 2023 facelift msport,"***GARANSI BEBAS ACCIDENT DAN BANJIR***
***BERGARANSI RESMI BMW***
.
BMW X3 xDrive30i M Sport Lci 2024 
.
Facelift
Faktur Pembelian 2024
Perakitan 2023
Black Sapphire Metallic on Cognac 
Low Odo 22 rb
Pajak Panjang Mei 2027
Service Record BMW
BMW Free Service sd 2029
BMW Warranty Sparepart  sd 2029 (FULL EXTENDED)
High Spec like 2024 
(with Bmw Surround View & Active Cruise Control)
.
2.0L TwinPower Turbo Petrol 
Power 252 hp, 450 Nm
8 Speed Sport Streptronic
All Wheel Drive
M Sport Package
20” M Light Alloy Wheels
M Sport Brake
Dynamic Cruise Control
BMW Laserlight 
Panorama Glass Roof
Ambient Light
Comfort Access
Automatic Tailgate
BMW Live Cockpit Professional
Apple CarPlay
Harman Kardon Sound System
.
Free Comprehensive Detailing Exterior, Interior, Engine Bay
Free Fogging Anti Virus & Bacterial
Garansi sertifikat otospector mobil tidak ada bekas tabrakan dan banjir
Free Nano Ceramic Coating 9H
.
Harga Paket Kredit
OTR 845 (DP MINIM, 5 tahun)
.
Cash 899
.
Terima Cash / Kredit / Tukar Tambah / Crypto
.
Minat serius whatsapp / call
.
*NEGO LANGSUNG KETIKA LIHAT MOBIL
*PEMEGANG UNIT LANGSUNG
*BUKAN PERANTARA/MAKELAR/CALO
*UNIT SIAP UNTUK DILIHAT
*HARAP WHATSAPP/CALL SEBELUM DATANG
*MOBIL BERKUALITAS DAN BERGARANSI
*SELAMA IKLAN ADA MOBIL MASIH ADA",BMW,Lainnya,,Lainnya,20.000-25.000,845000000.0,Individu,Jakarta D.K.I.
946600563,2026-07-28T10:29:36+07:00,Tersedia,DP RENDAH Wuling Almaz RS 1.5 T Pro Bensin-AT 2021 HFGS,"""Wuling Almaz RS 1.5 T Pro Bensin-AT 2021 Merah
.
Khusus Harga Kredit : Rp 176,000,000
Khusus Harga Cash : Rp 180,000,000
TDP : Rp 16,000,000
Angsuran 4 tahun : Rp Ask me
Angsuran 5 tahun : Rp Ask me
.
Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
Tenor panjang cicilan pasti ringan dan dapatkan saldo digital hingga 1.500.000
Dapatkan juga TDP terendah Dan Promo Trade In Suka- Suka
 (Terima Mobil merek dan Tahun Apapun Tanpa Syarat)
*S&K berlaku
.
Keunggulan Unit :
- Astra Certified
- Bebas Tabrak
- Bebas Banjir
- Kilometer Tidak Putaran
.
Berikut Spesiffikasi
- Dokumen Lengkap 
- Odometer : 59,515 km
- Transmisi : AT
- Pajak : 01 Jan 2027
- Plat : 
- Warna : Merah
- KN : HFGS
.
Mohon lakukan pembayaran booking fee / pelunasan melalui no rekening Bank BCA an PT. Serasi Mitra Mobil No. Rek: 2061/888/995
TDP promo hanya Berlaku jika:
- BI checking Bersih (tidak pernah ada keterlambatan pembayaran)
- Rumah Milik Pribadi
- Pemasukan/Gaji= 3x Angsuran.
* Bisa di bantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku)
.
Mengapa Anda harus membeli mobil di OLXmobbi? 
- Garansi Mesin hingga 1 tahun
- Gratis Biaya Jasa Perawatan
- Ada 2.000+ pilihan mobil bekas Mobil Bekas Berkualitas, Mobil lulus inspeksi dan tersertifikasi
- FREE HOME TEST DRIVE,
- Pilih Mobil? Pilih Yang Pasti
.
Kunjungi Kami Di : 
OLXMOBBI DEPOK Jl. Margonda No.23, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431
.
Bani - Sales Advisor
OLXmobbi
Ahlinya Mobil Bekas Berkualitas
""",Wuling,Lainnya,,Lainnya,55.000-60.000,176000000.0,Individu,Banten
944368524,2026-09-11T18:05:00+07:00,Tersedia,DP10% [Km7.000] Z4 Cabriolet M-Sport 2023 Black Reg 2024 #AUTOHIGH,"BMW Z4 CABRIOLET 3.0 S-DRIVE M-SPORT 2023 BLACK ON RED
Km.7.000 Antik!! , Stnk Bulan 06 ( NIK.2023 ) 
- Cabriolet Soft Top
- Engine 2.000cc with 257HP
- Perseneling Joystick 
- i-Drive Monitor + Multimedia
- Rear Camera
- Speedometer Digital
- GPS Indonesia
- ECO Mode + Sport Mode
- Electric Seat + Memory Seat
- Paddle Shift
- Velg + Bodykit M-Sport Package
- Warranty ATPM BMW Indonesia BRI Full Spreparts 3Thn s/d Apr 2028 + BSI Free Service 5Thn s/d Apr 2028

OTR KREDIT : 1.325M

Harga Negosiasi Setelah Datang Lihat Unit di Showroom Kami

Pembelian via cash / kredit.. Data luar kota bisa bantu proses, Tersedia jg Paket Total DP Ringan, Tenor hingga 6 tahun ( Proses 1 hari kerja saja )

Segera Rekomendasikan Keluarga / Teman / Kerabat Bapak & Ibu semua untuk membeli Mobil di AUTOHIGH dan dapatkan harga & kualitas terbaik dengan cara Share Link Iklan ini, Terima Kasih !!!

///AUTO HIGH BINTARO
** Bursa Mobil Bintaro A1 - A3
Bintaro Sektor 7, Tangerang Selatan
( Exit Tol Pondok Aren, samping Bank Permata Tower dan Dealer BMW Bestindo )

[[ GUNAKAN SELALU FITUR TELEPON & WHATS APP UNTUK KEAMANAN BERKOMUNIKASI, TERIMA KASIH ]]

Buka Setiap Hari : Pukul 9 Pagi s/d 6 Sore
( Sabtu / Minggu / Hari Libur Tetap Buka )

More Info, Please Call / SMS / Whats App : Pukul 8 Pagi s/d 11 Malam ( Setiap Hari )",BMW,Lainnya,,Lainnya,0-5.000,1325000000.0,Individu,Jakarta D.K.I.
947919567,2026-09-15T14:01:32+07:00,Tersedia,Tdp 23jt LowOdo 5rb/thn Facelift GLC200 AMG 2022 2021 MERCEDES X3,"Paket Flexing Tdp 23jt & Angs 16,771jt Tenor 5th
Mercedes Benz GLC200 AMG LowOdo 28rb Pajak FEB 27
Siap General Check Bengkel Resmi

Please welcome
*MERCEDES BENZ GLC200 AMG FACELIFT*

*NIK 2021*
Polar White
Engine 2.000 CC
ODO 28.XXX MLS
Tax Februari 2027

*Additional Information:*
- Panoramic Sunroof
- Burmester Audio System
- 9G-Tronic Transmission
- Ambient Light
- MID Instrument Cluster with Trackpad
- Power Backdoor
- Memory Seat & Electric Seat

*Harga Kredit 655 Juta*
*Harga Cash 688 Juta*

Kredit Special Promo
Paket Flexing
Tdp 23jt 
Angsuran 16,771jt
Tenor 5 th

For Unit Information / Instant Approval Test Drive Hari Ini Besok Delivery
Contact : Steve 0878/1112/2010

*GARANSI Uang Kembali 1000%*
Mobil Lulus inspeksi @otospector
Mobil Bebas Banjir & Bebas Major Accident
Record mobil sesuai odometer
Dokumen mobil asli keabsahannya

Cek variasi stok unit di instagram
@chrisauto_garage
@chrisauto_official

Chris Auto Garage | CAG
Bursa Otomotif Sunter 
Blok D2-D3 | Blok C1A- 1B
(Masuk Pintu 5 Lurus Paling Ujung) 
Jl. Yos Sudarso Kav 87-88
Jakarta Utara
(Search Google Map -> Ketik Chris Auto Garage) 

Operational Hour
( Minggu / Tanggal Merah TETAP BUKA )
Senin - Sabtu 08.00 - 17.30
Minggu 10.00 - 16.00
Diluar jam operasional tetap kami layani by appointment",Mercedes-Benz,Lainnya,,Lainnya,20.000-25.000,655000000.0,Individu,Jakarta D.K.I.
946506618,2026-08-26T02:11:28+07:00,Tersedia,DP RENDAH Toyota Rush 1.5 S Bensin-AT 2021 TRZ,"""Kendaraan Pilihan Bergaransi 
 
Toyota Rush 1.5 S Bensin-AT 2021 Hitam
.
Harga Kredit : Rp 202,000,000
Harga Cash : Rp 206,000,000
.
TDP :  17,000,000
Angsuran 4 tahun :  Ask me
Angsuran 5 tahun :  Ask me
.
Mohon lakukan pembayaran booking fee / pelunasan melalui No Rekening Bank BCA an PT. Serasi Mitra Mobil No. Rek: 2061/888/995
Kunjungi Kami Di :
- OLXmobbi DEPOK Jl. Margonda Raya No. 23 Kota DEPOK
- Buka Setiap Hari - *Hari LIBUR/MINGGU Tetap Buka*
.
Bani - Sales Advisor
.
Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
Beli Mobil Terus Untung!!
Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000!
Dapatkan juga TDP terendah Dan Promo Trade In Suka - Suka
(Terima Mobil Merk dan Tahun Apapun Tanpa Syarat)
*S&K berlaku
.
Keunggulan Unit :
- Astra Certified
- Bebas Tabrak
- Bebas Banjir
- Kilometer Tidak Putaran
.
Berikut Spesiffikasi
1. Pajak : 01 Jan 2027
2. Odometer : 62,924 km
3. Transmisi : AT
4. Atas Nama : PERORANGAN
5. Plat : GANJIL
6. Warna : Hitam
7. KN : TRZ
.
TDP promo hanya Berlaku jika:
- BI checking Bersih (tidak pernah ada keterlambatan pembayaran)
- Rumah Milik Pribadi
- Pemasukan/Gaji= 3x Angsuran.
* Bisa di bantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku)
.
Mengapa Anda harus membeli mobil di OLXmobbi? 
- Garansi Mesin hingga 1 tahun
- Voucher Promo Untuk Biaya Jasa Perawatan
- Pilihan Unit Bervariasi 

** MELAYANI HOME TEST DRIVE **

CARI MOBIL - PILIH YANG AHLI  :
OLXMOBBI - DEPOK
Ahlinya Mobil Bekas Berkualitas
""",Toyota,Lainnya,,Lainnya,65.000-70.000,202000000.0,Individu,Jawa Barat
946613822,2026-09-09T12:40:16+07:00,Tersedia,DP10% [Km15.000] X1 X-Line 2024 White Reg 2025 #AUTOHIGH,"BMW X1 X-LINE 2024/2025 NEW MODEL WHITE ON BLACK
Km.15.000 Antik!! , Stnk Bulan 10 Register 2025 ( NIK.2024 )
- Monitor + Rear Camera
- GPS Indonesia
- Speedometer Digital
- Electric Seat + Memory Seat
- Panoramic + Sunroof
- Bagasi Power Back Door
- Engine Start Stop
- Warranty Full Spare Parts BRI ( 5 Thn s/d Feb 2030 ) & Warranty Free Service BSI ( 5 Thn s/d Feb 2030 )

OTR KREDIT : 685JT 
OTR CASH : 760JT 

Harga Negosiasi Setelah Datang Lihat Unit di Showroom Kami

Pembelian via cash / kredit.. Data luar kota bisa bantu proses, Tersedia jg Paket Total DP Ringan, Tenor hingga 6 tahun ( Proses 1 hari kerja saja )

Segera Rekomendasikan Keluarga / Teman / Kerabat Bapak & Ibu semua untuk membeli Mobil di AUTOHIGH dan dapatkan harga & kualitas terbaik dengan cara Share Link Iklan ini, Terima Kasih !!!

///AUTO HIGH BINTARO
** Bursa Mobil Bintaro A1 - A3
Bintaro Sektor 7, Tangerang Selatan
( Exit Tol Pondok Aren, samping Bank Permata Tower dan Dealer BMW Bestindo )

[[ GUNAKAN SELALU FITUR TELEPON & WHATS APP UNTUK KEAMANAN BERKOMUNIKASI, TERIMA KASIH ]]

Buka Setiap Hari : Pukul 9 Pagi s/d 6 Sore
( Sabtu / Minggu / Hari Libur Tetap Buka )

More Info, Please Call / SMS / Whats App : Pukul 8 Pagi s/d 11 Malam ( Setiap Hari )",BMW,Lainnya,,Lainnya,5.000-10.000,685000000.0,Individu,Jakarta D.K.I.
948345140,2026-09-23T12:59:06+07:00,Tersedia,KM Rendah - Daihatsu Ayla 1.2 R ADS Bensin-AT 2024,"""KM Rendah - Daihatsu Ayla 1.2 R ADS Bensin-AT 2024
.
Harga Credit : Rp150,000,000
Harga Cash : Rp160,000,000
. 
TDP : Rp12,000,000
. 
Angsuran 4 Tahun : Rp0,,Rp0
Angsuran 5 Tahun : Rp3,700,000
.
FREE ASURANSI TLO UNTUK PEMBELIAN CASH
.
- Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
- 1000+ Pilihan Unit (Cari Unit Tertentu? Chat Saja)
- Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000
- Dapatkan Promo Voucher Service
- Tambahan Asuransi TLO Untuk Pembelian Cash
*S&K berlaku
.
Spesifikasi Unit : 
1. Pajak Mei 2027
2. Odometer 9rb+ Km
3. Plat : Genap
4. Surat-surat Jaminan Asli dan Sesuai
5. Garansi 1 Tahun (S&K Berlaku)
.
Keunggulan Model :
• Car of the Year - Warta Ekonomi (2013), Part mudah dan murah bengkel dimana-mana
• LCGC of the Year - Indonesia Automotive Award (2014)
• cocok buat kendaraan dalam kota dengan konsumsi BBM sd 15-16 KM/L
• Jaringan bengkel luas ada dimana-mana
• Nilai jual kembali tinggi dan stabil di pasar mobil bekas Indonesia, khususnya Jabodetabek
• Suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau
• Cocok untuk berbagai kebutuhan: keluarga, komuter harian di Jakarta, perjalanan luar kota, atau adventure ringan
• Biaya operasional rendah dan sangat cocok untuk daily commute di Jakarta serta kota besar lainnya
.
Mengapa Anda harus membeli mobil di OLXmobbi?
- Gratis Garansi hingga 1 tahun
- Voucher Biaya Jasa Perawatan
- FREE HOME TEST DRIVE
*S&K Berlaku
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT
.
Kunjungi kami di
OLXmobbi Buaran
Jl. Radin Inten II No.1, RT.8/RW.14, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 1606179
.
Teguh Arif Margo Santoso - Sales Advisor
OLXmobbi Buaran
Ahlinya Mobil Bekas Kualitas""",Daihatsu,Lainnya,,Lainnya,5.000-10.000,150000000.0,Individu,Jakarta D.K.I.
945516451,2026-09-23T12:48:54+07:00,Tersedia,DP10% [Km23.000] E300 AMG 2018 White Reg 2019 #AUTOHIGH,"MERCEDES BENZ E300 AMG 2018 WHITE ON BLACK
Km.23.000 Antik!! , Stnk Bulan 10 ( NIK.2018 )
- Monitor TV + 4 Camera
- Speedometer Digital Model Terbaru 
- Panoramic + Sunroof
- Electric Seat + Memory Seat
- Keyless + Engine Start Botton
- Velg Original AMG R.19
- Audio Burnsmester
- ⁠Optional Bagasi Power Back Door
- Service Record ATPM Mercedes Benz 

OTR KREDIT : 545JT 
OTR CASH : 595JT 

Harga Negosiasi Setelah Datang Lihat Unit di Showroom Kami

Pembelian via cash / kredit.. Data luar kota bisa bantu proses, Tersedia jg Paket Total DP Ringan, Tenor hingga 6 tahun ( Proses 1 hari kerja saja )

Segera Rekomendasikan Keluarga / Teman / Kerabat Bapak & Ibu semua untuk membeli Mobil di AUTOHIGH dan dapatkan harga & kualitas terbaik dengan cara Share Link Iklan ini, Terima Kasih !!!

///AUTO HIGH BINTARO
** Bursa Mobil Bintaro A1 - A3
Bintaro Sektor 7, Tangerang Selatan
( Exit Tol Pondok Aren, samping Bank Permata Tower dan Dealer BMW Bestindo )

[[ GUNAKAN SELALU FITUR TELEPON & WHATS APP UNTUK KEAMANAN BERKOMUNIKASI, TERIMA KASIH ]]

Buka Setiap Hari : Pukul 9 Pagi s/d 6 Sore
( Sabtu / Minggu / Hari Libur Tetap Buka )

More Info, Please Call / SMS / Whats App : Pukul 8 Pagi s/d 11 Malam ( Setiap Hari )",Mercedes-Benz,Lainnya,,Lainnya,15.000-20.000,545000000.0,Individu,Jakarta D.K.I.
947919963,2026-09-15T11:39:59+07:00,Tersedia,Tdp 23jt Odo 10rb/thn TSS Facelift Alphard G ATPM 2023 2022,"Paket Flexing Tdp 23jt & Angs 18,742jt Tenor 5th
Toyota Alphard 2.5 G ATPM LowOdo 40rb Pajak JUN 27
Siap General Check Bengkel Resmi

please welcome
*TOYOTA ALPHARD 2.5 G*

*Nik 2022*
Black
Engine 2.500 CC 
ODO 40.XXX KM 
Tax September

*Additional Information:*
- Panoramic Sunroof
- Heated & Ventilated Seat
- Rear Entertainment System
- AC Digital (Dual Zone)
- Captain Seat

*Harga Kredit 729 JT*
*Harga Cash 779 JT*

Kredit Special Promo
Paket Flexing
Tdp 23jt 
Angsuran 18,742jt
Tenor 5 th

For Unit Information / Instant Approval Test Drive Hari Ini Besok Delivery
Contact : Steve 0878/1112/2010

*GARANSI Uang Kembali 1000%*
Mobil Lulus inspeksi @otospector
Mobil Bebas Banjir & Bebas Major Accident
Record mobil sesuai odometer
Dokumen mobil asli keabsahannya

Cek variasi stok unit di instagram
@chrisauto_garage
@chrisauto_official

Chris Auto Garage | CAG
Bursa Otomotif Sunter 
Blok D2-D3 | Blok C1A- 1B
(Masuk Pintu 5 Lurus Paling Ujung) 
Jl. Yos Sudarso Kav 87-88
Jakarta Utara
(Search Google Map -> Ketik Chris Auto Garage) 

Operational Hour
( Minggu / Tanggal Merah TETAP BUKA )
Senin - Sabtu 08.00 - 17.30
Minggu 10.00 - 16.00
Diluar jam operasional tetap kami layani by appointment",Toyota,Lainnya,,Lainnya,35.000-40.000,729000000.0,Individu,Jakarta D.K.I.
945516527,2026-09-23T12:48:44+07:00,Tersedia,DP10% [Km6.000] X5 M-Sport 2025 White Reg 2026 #AUTOHIGH,"BMW X5 M-SPORT 2025/2026 WHITE ON BROWN
Km.6.000 Antik!! , Stnk Bulan 04 Register 2026 ( NIK.2025 ) 
- Monitor + Camera
- GPS Indonesia
- Speedometer Digital
- Electric Seat + Memory Seat
- ⁠3 Rows + 7 Seater
- Panoramic + Sunroof
- Bagasi Power Back Door
- Interior with Laser Light
- ECO Mode + Start Stop Engine
- Engine 3.000cc with 340Hp
- Warranty BRI Full Spare Parts 5 Tahun s/d Juni 2030 & Warranty BSI Free Service BSI 5 Tahun s/d Juni 2030

OTR KREDIT : 1.510M 

Harga Negosiasi Setelah Datang Lihat Unit di Showroom Kami

Pembelian via cash / kredit.. Data luar kota bisa bantu proses, Tersedia jg Paket Total DP Ringan, Tenor hingga 6 tahun ( Proses 1 hari kerja saja )

Segera Rekomendasikan Keluarga / Teman / Kerabat Bapak & Ibu semua untuk membeli Mobil di AUTOHIGH dan dapatkan harga & kualitas terbaik dengan cara Share Link Iklan ini, Terima Kasih !!!

///AUTO HIGH BINTARO
** Bursa Mobil Bintaro A1 - A3
Bintaro Sektor 7, Tangerang Selatan
( Exit Tol Pondok Aren, samping Bank Permata Tower dan Dealer BMW Bestindo )

[[ GUNAKAN SELALU FITUR TELEPON & WHATS APP UNTUK KEAMANAN BERKOMUNIKASI, TERIMA KASIH ]]

Buka Setiap Hari : Pukul 9 Pagi s/d 6 Sore
( Sabtu / Minggu / Hari Libur Tetap Buka )

More Info, Please Call / SMS / Whats App : Pukul 8 Pagi s/d 11 Malam ( Setiap Hari )",BMW,Lainnya,,Lainnya,0-5.000,1510000000.0,Individu,Jakarta D.K.I.
