id_iklan,created_at,judul,deskripsi,merek,model,tahun,transmisi,jarak_tempuh,harga,tipe_penjual_badge,lokasi,durasi_tayang_hari,kategori_penjualan,usia_mobil,km_per_tahun,tipe_penjual,ada_garansi,deskripsi_bersih,judul_bersih
948262471,2026-09-19T14:06:56+07:00,[ GARANSI 5THN ] Toyota Alphard HYBRID Executive Lounge 2016/2017/2018,"BELI MOBIL TANPA KHAWATIR BERGARANSI 5 TAHUN!

Toyota Alphard 2.5 HYBRID Executive Lounge E-Four CBU Japan AT White On Beige NIK 2017, PAJAK BULAN 9 (2027), ODOMETER LOW 72RB KM, RARE ITEM
-
Focus Motor Belanja Mobil 26 Tahun Membangun Kepercayaan.
Nikmati standar baru kepemilikan mobil bekas dengan garansi komprehensif hingga 5 TAHUN untuk 155 KOMPONEN. BERSERTIFIKAT, BERPOLIS, dan didukung layanan CUSTOMER SERVICE PERSONAL untuk pengalaman berkendara yang aman dan tanpa khawatir.

Belanja Mobil bukan hanya menjual mobil bekas. Kami jual mobil bekas dengan RASA AMAN seperti mobil baru.

5 BELANJA MOBIL PROMISE :
1. Mobil Terinspeksi 155 titik
2. ⁠TERGARANSI 5 tahun
3. ⁠Harga Transparan
4. ⁠Jaminan Trade-in/Buyback
5. ⁠After Sales yg baik (Mempunyai Customer Service Personal)

-UNIT 100% BEBAS TABRAK DAN BEBAS BANJIR (garansi uang kembali)
-Dokumen ABSAH
-BONUS! Free Detailing (pembersihan) 2x (1 tahun)
-
OTR KREDIT 725JT
OTR CASH BY CALL

DP Minim
Dp 109jt
Angs 19.800,500 x47 tlo

Dp 97jt
Angs 17.445,000 x59 tlo

Bunga Premium
Dp 121jt
Angs 18.715,500 x47 tlo

Dp 110jt
Angs 16.388,000 x59 tlo

UNTUK REQUEST DP / HITUNGAN LAIN, SILAKAN HUBUNGI KAMI

Harga kredit tertera adalah harga minimal kredit dengan tenor 4 & 5 tahun, diluar itu mengikuti harga Cash (karena kami mensubsidi refund bunga kepada anda)
-
Spesifikasi :
* Electric Sunroof & Moonroof
* JBL Sound System
* Engine 2.5 cc 2AR-FXE E-CVT Hybrid 150 PS (206 Nm)
* E-Four (All Wheels Drive)
* Ambience Light
* AC Digital Triple Zone
* Electric Sliding Door (L/R)
* TV Roof Monitor
* Toyota Headunit LCD Touchscreen With Apple Carplay & Android Auto
* Electric Leather Seat (PILOT SEAT) With Memory Seat
* Heater & Cooler Seat With Lumbar Support
* LED Projector Headlamp With DRL, Foglamp LED
* LED Tail Light
* SRS Airbags, ABS, EBD, BA, VSC, TRC COMPLETE SAFETY CAR
* 360 View Parking Camera, Parking Sensor, Rear View Mirror
* Power Back Door
* Kaca Film Vkool

LOKASI : Bursa Otomotif Mangga Dua Square, Focus Motor, Jakarta Utara (KYS) (HG)",Toyota,Alphard,2018,otomatis,72500,725000000,Individu,Jakarta D.K.I.,3,Cepat,8,9062,Dealer,Ya,beli mobil tanpa khawatir bergaransi 5 tahun toyota alphard 25 hybrid executive lounge efour cbu japan otomatis white hidup beige nik 2017 pajak bulan 9 2027 odometer rendah 72rb kilometer rare item focus motor belanja mobil 26 tahun membangun kepercayaan nikmati standar baru kepemilikan mobil bekas dengan garansi komprehensif hingga 5 tahun untuk 155 komponen bersertifikat berpolis dan didukung layanan customer service personal untuk pengalaman berkendara yang aman dan tanpa khawatir belanja mobil bukan hanya menjual mobil bekas kami jual mobil bekas dengan rasa aman seperti mobil baru 5 belanja mobil promise 1 mobil terinspeksi 155 titik 2 ⁠tergaransi 5 tahun 3 ⁠harga transparan 4 ⁠jaminan tradeinbuyback 5 ⁠after sales yang baik mempunyai customer service personal unit 100 bebas tabrak dan bebas banjir garansi uang kembali dokumen absah bonus free detailing pembersihan 2x 1 tahun harga jalan kredit 725jt harga jalan tunai by call uang muka minim uang muka 109jt angsuran 19800500 x47 tlo uang muka 97jt angsuran 17445000 x59 tlo bunga premium uang muka 121jt angsuran 18715500 x47 tlo uang muka 110jt angsuran 16388000 x59 tlo untuk request uang muka hitungan lain silakan hubungi kami harga kredit tertera adalah harga minimal kredit dengan tenor 4 5 tahun diluar itu mengikuti harga tunai karena kami mensubsidi refund bunga kepada anda spesifikasi electric sunroof moonroof jbl sound system engine 25 kapasitas mesin 2arfxe ecvt hybrid 150 ps 206 nm efour all wheels drive ambience light pendingin kabin digital triple zone electric sliding door lr tv roof monitor toyota headunit lcd touchscreen with apple carplay android auto electric leather seat pilot seat with memory seat heater cooler seat with lumbar support led projector headlamp with drl foglamp led led tail light srs airbags abs ebd ba vsc trc complete safety car 360 view parking camera parking sensor rear view mirror power back door kaca film vkool lokasi bursa otomotif mangga dua square focus motor jakarta utara kys hg,garansi 5thn toyota alphard hybrid executive lounge 201620172018
948225159,2026-09-20T14:35:40+07:00,DP RENDAH - Hyundai Santa Fe 2.4 Bensin-AT 2017,".
DP RENDAH - Hyundai Santa Fe 2.4 Bensin-AT 2017 Putih 
.
Harga Cash : Hubungi Saya / Chat Me 
Harga Credit : Rp.  170,000,000 ,-
TDP :  17,000,000
Angsuran 4 Tahun : Rp. 5,300,000 ,-
Angsuran 5 Tahun silahkan hubungi untuk informasi lebih lanjut
.
Beli Mobil Terus Untung!!
Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000!
*S&K berlaku
.
Keunggulan Unit
1. Pajak : May 2026
2. Odometer : 143.xxx 
3. Like New
4. Tangan Pertama
5. Atas nama  : Perorangan
6. Plat Genap
.
GRATIS HOME TEST DRIVE
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT

TDP promo hanya Berlaku jika:
- BI checking Bersih (tidak pernah ada keterlambatan pembayaran)
- Rumah Milik Pribadi
- Pemasukan/Gaji= 3x Angsuran.
*Bisa di bantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku)
.
Kunjungi kami di
OLXmobbi Bekasi
Jl. Jend. Sudirman No.1, Kranji, Kec. Bekasi Bar., Kota Bks, Jawa Barat KODE POS 47913
.
Rudi Hartono - Sales Advisor
OLXmobbi
Ahlinya Mobil Bekas Berkualitas",Hyundai,Santa Fe,2017,otomatis,142500,170000000,Individu,Jawa Barat,2,Cepat,9,15833,Dealer,Tidak,uang muka rendah hyundai santa fe 24 bensinat 2017 putih harga tunai hubungi saya chat me harga credit rp 170000000 total uang muka 17000000 angsuran 4 tahun rp 5300000 angsuran 5 tahun silahkan hubungi untuk informasi lebih lanjut beli mobil terus untung beli mobil dan dapatkan bonus saldo digital hingga rp1500000 sk berlaku keunggulan unit 1 pajak may 2026 2 odometer 143xxx 3 like new 4 tangan pertama 5 atas nama perorangan 6 plat nomor genap gratis home test drive pembayaran booking fee pelunasan hanya melalui no rekening 2061888995 bca an serasi mitra mobil pt total uang muka promo hanya berlaku jika bi checking bersih tidak pernah ada keterlambatan pembayaran rumah milik pribadi pemasukangaji 3x angsuran bisa di bantu rumah kontrak dan bi checking bermasalah dengan total uang muka 30 sk berlaku kunjungi kami di olxmobbi bekasi jl jend sudirman no1 kranji kec bekasi bar kota bks jawa barat kode pos 47913 rudi hartono sales advisor olxmobbi ahlinya mobil bekas berkualitas,uang muka rendah hyundai santa fe 24 bensinat 2017
947538781,2026-09-17T12:16:52+07:00,DP10% [Km8.000] E200 Exclusive 2024 Black Reg 2026 #AUTOHIGH,"MERCEDES BENZ E200 EXCLUSIVE LINE 2024 NEW MODEL PANORAMIC BLACK ON BLACK
Km.8.000 Antik!! , Stnk Bulan 11 ( NIK.2024 )
- Monitor Screen TV 
- ⁠4 Camera 360
- Speedometer Digital
- Mouse Control
- LED Day Lights
- Steer New Model
- ⁠Panoramic + Sunroof
- Electric Seat + Memory Seat
- Bagasi Power Back Doors
- Warranty ATPM Mercedes Benz 5 Stars ( 3 Thn Full Spareparts s/d Feb 2027 + 5 Thn Free Service s/d Feb 2029 )

OTR KREDIT : 1.100M
OTR CASH : 1.200M

Harga Negosiasi Setelah Datang Lihat Unit di Showroom Kami

Pembelian via cash / kredit.. Data luar kota bisa bantu proses, Tersedia jg Paket Total DP Ringan, Tenor hingga 6 tahun ( Proses 1 hari kerja saja )

Segera Rekomendasikan Keluarga / Teman / Kerabat Bapak & Ibu semua untuk membeli Mobil di AUTOHIGH dan dapatkan harga & kualitas terbaik dengan cara Share Link Iklan ini, Terima Kasih !!!

///AUTO HIGH BINTARO
** Bursa Mobil Bintaro A1 - A3
Bintaro Sektor 7, Tangerang Selatan
( Exit Tol Pondok Aren, samping Bank Permata Tower dan Dealer BMW Bestindo )

[[ GUNAKAN SELALU FITUR TELEPON & WHATS APP UNTUK KEAMANAN BERKOMUNIKASI, TERIMA KASIH ]]

Buka Setiap Hari : Pukul 9 Pagi s/d 6 Sore
( Sabtu / Minggu / Hari Libur Tetap Buka )

More Info, Please Call / SMS / Whats App : Pukul 8 Pagi s/d 11 Malam ( Setiap Hari )",Mercedes-Benz,E200,2026,manual,2500,1100000000,Individu,Jakarta D.K.I.,6,Cepat,0,2500,Dealer,Ya,mercedes benz e200 exclusive line 2024 new model panoramic black hidup black km8000 sangat terawat stnk bulan 11 nik2024 monitor screen tv ⁠4 camera 360 speedometer digital mouse control led day lights steer new model ⁠panoramic sunroof electric seat memory seat bagasi power back doors garansi atpm mercedes benz 5 stars 3 thn full spareparts sd feb 2027 5 thn free service sd feb 2029 harga jalan kredit 1100m harga jalan tunai 1200m harga negosiasi setelah datang lihat unit di showroom kami pembelian via tunai kredit data luar kota bisa bantu proses tersedia jg paket total uang muka ringan tenor hingga 6 tahun proses 1 hari kerja saja segera rekomendasikan keluarga teman kerabat bapak ibu semua untuk membeli mobil di autohigh dan dapatkan harga kualitas terbaik dengan cara share link iklan ini terima kasih auto high bintaro bursa mobil bintaro a1 a3 bintaro sektor 7 tangerang selatan exit tol pondok aren samping bank permata tower dan dealer bmw bestindo gunakan selalu fitur telepon whats app untuk keamanan berkomunikasi terima kasih buka setiap hari pukul 9 pagi sd 6 sore sabtu minggu hari libur tetap buka more info please call sms whats app pukul 8 pagi sd 11 malam setiap hari,dp10 km8000 e200 exclusive 2024 black reg 2026 autohigh
948225153,2026-09-20T14:35:24+07:00,DP RENDAH - Toyota Camry 2.5 Hybrid-AT 2021,".
DP RENDAH - Toyota Camry 2.5 Hybrid-AT 2021 Hitam 
.
Harga Cash : Hubungi Saya / Chat Me 
Harga Credit : Rp.  331,000,000 ,-
TDP :  38,000,000
Angsuran 4 Tahun : Rp. 10,000,000 ,-
Angsuran 5 Tahun silahkan hubungi untuk informasi lebih lanjut
.
Beli Mobil Terus Untung!!
Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000!
*S&K berlaku
.
Keunggulan Unit
1. Pajak : July 2024
2. Odometer : 99.xxx 
3. Like New
4. Tangan Pertama
5. Atas nama  : Perorangan
6. Plat Genap
.
GRATIS HOME TEST DRIVE
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT

TDP promo hanya Berlaku jika:
- BI checking Bersih (tidak pernah ada keterlambatan pembayaran)
- Rumah Milik Pribadi
- Pemasukan/Gaji= 3x Angsuran.
*Bisa di bantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku)
.
Kunjungi kami di
OLXmobbi Bekasi
Jl. Jend. Sudirman No.1, Kranji, Kec. Bekasi Bar., Kota Bks, Jawa Barat KODE POS 40442
.
Rudi Hartono - Sales Advisor
OLXmobbi
Ahlinya Mobil Bekas Berkualitas",Toyota,Camry,2021,otomatis,97500,331000000,Individu,Jawa Barat,2,Cepat,5,19500,Dealer,Tidak,uang muka rendah toyota camry 25 hybridat 2021 hitam harga tunai hubungi saya chat me harga credit rp 331000000 total uang muka 38000000 angsuran 4 tahun rp 10000000 angsuran 5 tahun silahkan hubungi untuk informasi lebih lanjut beli mobil terus untung beli mobil dan dapatkan bonus saldo digital hingga rp1500000 sk berlaku keunggulan unit 1 pajak july 2024 2 odometer 99xxx 3 like new 4 tangan pertama 5 atas nama perorangan 6 plat nomor genap gratis home test drive pembayaran booking fee pelunasan hanya melalui no rekening 2061888995 bca an serasi mitra mobil pt total uang muka promo hanya berlaku jika bi checking bersih tidak pernah ada keterlambatan pembayaran rumah milik pribadi pemasukangaji 3x angsuran bisa di bantu rumah kontrak dan bi checking bermasalah dengan total uang muka 30 sk berlaku kunjungi kami di olxmobbi bekasi jl jend sudirman no1 kranji kec bekasi bar kota bks jawa barat kode pos 40442 rudi hartono sales advisor olxmobbi ahlinya mobil bekas berkualitas,uang muka rendah toyota camry 25 hybridat 2021
944599174,2026-09-19T10:54:41+07:00,KM 30rb Hyundai Palisade Signature 2021  Garansi 1 Tahun,"Fs : Hyundai Palisade Signature
Garansi 1 Tahun Mesin dan Transmisi 
NIK : 2021
Odometer : 32 rb an
CC : 2.200 Turbo
Warna : Abu-abu
Plat : B Genap
Pajak : 09/27

Harga

Credit : 475jt
Cash : Call / wa

Garansi Bebas Banjir dan Tabrakan!
Mobil bisa di bawa general check (Setelah booking fee)

Nego setelah cek unit
Happy Shopping!
Thanks",Hyundai,Palisade,2021,manual,32500,475000000,Individu,Jakarta D.K.I.,4,Cepat,5,6500,Individu,Ya,fs hyundai palisade signature garansi 1 tahun mesin dan transmisi nik 2021 odometer 32 rb an kapasitas mesin 2200 turbo warna abuabu plat nomor b genap pajak 0927 harga credit 475jt tunai call wa garansi bebas banjir dan tabrakan mobil bisa di bawa general check setelah booking fee negosiasi setelah cek unit happy shopping thanks,kilometer 30rb hyundai palisade signature 2021 garansi 1 tahun
945091781,2026-08-30T19:29:29+07:00,Toyota Harrier 2.4 L Prem 2011,"Pemakaian 2012 nik 2011
Orisinil Cat Mulus Susah Coating
Interior Orisinil Bagus Bersih Wangi
Kaki Kaki Senyap Tak Ada Bunyi2
Mesin Rawatan Pribadi

Pajak 4 2027 Panjang
No Pol B Ganjil
Tangan Pertama Dari Baru
Komplit Manual Book Konci Serap
Eletrical Pungsi Normal

Garansi Mesin Dan Tranmisi
Garansi Bebas Laka Dan Banjir
Jaminan Siap Pakai.

Bisa Cash , Credit Dan Tukar Tambah
Harga. Rp , 180 jt Harga Cash.

Hub , Jln Dermaga Raya no 10a
Klender Duren Sawit Jak Tim.",Toyota,Harrier,2011,manual,102500,185000000,Individu,Jakarta D.K.I.,23,Cepat,15,6833,Individu,Ya,pemakaian 2012 nik 2011 orisinil cat bodi mulus susah coating interior orisinil bagus bersih wangi suspensi suspensi hening tak ada bunyi2 mesin rawatan pribadi pajak 4 2027 panjang no pol b ganjil tangan pertama dari baru lengkap manual book konci serap eletrical pungsi normal garansi mesin dan tranmisi garansi bebas laka dan banjir jaminan siap pakai bisa tunai credit dan tukar tambah harga rp 180 jt harga tunai hub jln dermaga raya no 10a klender duren sawit jak tim,toyota harrier 24 l prem 2011
948225191,2026-09-17T19:11:56+07:00,DP RENDAH - Nissan Kicks 1.2 Bensin-AT 2023,".
DP RENDAH - Nissan Kicks 1.2 Bensin-AT 2023 Hitam 
.
Harga Cash : Hubungi Saya / Chat Me 
Harga Credit : Rp.  260,000,000 ,-
TDP :  28,000,000
Angsuran 4 Tahun : Rp. 7,900,000 ,-
Angsuran 5 Tahun silahkan hubungi untuk informasi lebih lanjut
.
Beli Mobil Terus Untung!!
Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000!
*S&K berlaku
.
Keunggulan Unit
1. Pajak : January 2026
2. Odometer : 52.xxx 
3. Like New
4. Tangan Pertama
5. Atas nama  : Perorangan
6. Plat Ganjil
.
GRATIS HOME TEST DRIVE
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT

TDP promo hanya Berlaku jika:
- BI checking Bersih (tidak pernah ada keterlambatan pembayaran)
- Rumah Milik Pribadi
- Pemasukan/Gaji= 3x Angsuran.
*Bisa di bantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku)
.
Kunjungi kami di
OLXmobbi Bekasi
Jl. Jend. Sudirman No.1, Kranji, Kec. Bekasi Bar., Kota Bks, Jawa Barat KODE POS 39559
.
Rudi Hartono - Sales Advisor
OLXmobbi
Ahlinya Mobil Bekas Berkualitas",Nissan,Kicks,2023,otomatis,52500,260000000,Individu,Jawa Barat,5,Cepat,3,17500,Dealer,Tidak,uang muka rendah nissan kicks 12 bensinat 2023 hitam harga tunai hubungi saya chat me harga credit rp 260000000 total uang muka 28000000 angsuran 4 tahun rp 7900000 angsuran 5 tahun silahkan hubungi untuk informasi lebih lanjut beli mobil terus untung beli mobil dan dapatkan bonus saldo digital hingga rp1500000 sk berlaku keunggulan unit 1 pajak january 2026 2 odometer 52xxx 3 like new 4 tangan pertama 5 atas nama perorangan 6 plat nomor ganjil gratis home test drive pembayaran booking fee pelunasan hanya melalui no rekening 2061888995 bca an serasi mitra mobil pt total uang muka promo hanya berlaku jika bi checking bersih tidak pernah ada keterlambatan pembayaran rumah milik pribadi pemasukangaji 3x angsuran bisa di bantu rumah kontrak dan bi checking bermasalah dengan total uang muka 30 sk berlaku kunjungi kami di olxmobbi bekasi jl jend sudirman no1 kranji kec bekasi bar kota bks jawa barat kode pos 39559 rudi hartono sales advisor olxmobbi ahlinya mobil bekas berkualitas,uang muka rendah nissan kicks 12 bensinat 2023
947484414,2026-09-16T12:54:30+07:00,DP10% [Km10.000] GLC300 AMG 2023 Black / GLC 300 Reg 2024 #AUTOHIGH,"MERCEDES BENZ GLC300 AMG LINE 2023 NEW MODEL BLACK ON BLACK 
Km.10.000 Antik!! , Stnk Bulan 11 ( NIK.2023 )
- TV Monitor + Camera 360
- Speedometer Digital
- Electric Seat + Memory Seat 
- LED Day Light
- Panoramic + Sunroof
- Velg AMG Original Mercedes Benz
- Audio Burnsmester
- Bagasi Power Back Door
- Warranty ATPM Mercedes Benz 3 Thn Full Spareparts s/d Sept 2026 & Free Service 5 Thn Free Service Oli & Jasa s/d Sept 2028

OTR KREDIT : 1.095M
OTR CASH : 1.195M

Harga Negosiasi Setelah Datang Lihat Unit di Showroom Kami

Pembelian via cash / kredit.. Data luar kota bisa bantu proses, Tersedia jg Paket Total DP Ringan, Tenor hingga 6 tahun ( Proses 1 hari kerja saja )

Segera Rekomendasikan Keluarga / Teman / Kerabat Bapak & Ibu semua untuk membeli Mobil di AUTOHIGH dan dapatkan harga & kualitas terbaik dengan cara Share Link Iklan ini, Terima Kasih !!!

///AUTO HIGH BINTARO
** Bursa Mobil Bintaro A1 - A3
Bintaro Sektor 7, Tangerang Selatan
( Exit Tol Pondok Aren, samping Bank Permata Tower dan Dealer BMW Bestindo )

[[ GUNAKAN SELALU FITUR TELEPON & WHATS APP UNTUK KEAMANAN BERKOMUNIKASI, TERIMA KASIH ]]

Buka Setiap Hari : Pukul 9 Pagi s/d 6 Sore
( Sabtu / Minggu / Hari Libur Tetap Buka )

More Info, Please Call / SMS / Whats App : Pukul 8 Pagi s/d 11 Malam ( Setiap Hari )",Mercedes-Benz,Glc,2024,manual,2500,1095000000,Individu,Jakarta D.K.I.,6,Cepat,2,1250,Dealer,Ya,mercedes benz glc300 amg line 2023 new model black hidup black km10000 sangat terawat stnk bulan 11 nik2023 tv monitor camera 360 speedometer digital electric seat memory seat led day light panoramic sunroof velg amg original mercedes benz audio burnsmester bagasi power back door garansi atpm mercedes benz 3 thn full spareparts sd sept 2026 free service 5 thn free service oli jasa sd sept 2028 harga jalan kredit 1095m harga jalan tunai 1195m harga negosiasi setelah datang lihat unit di showroom kami pembelian via tunai kredit data luar kota bisa bantu proses tersedia jg paket total uang muka ringan tenor hingga 6 tahun proses 1 hari kerja saja segera rekomendasikan keluarga teman kerabat bapak ibu semua untuk membeli mobil di autohigh dan dapatkan harga kualitas terbaik dengan cara share link iklan ini terima kasih auto high bintaro bursa mobil bintaro a1 a3 bintaro sektor 7 tangerang selatan exit tol pondok aren samping bank permata tower dan dealer bmw bestindo gunakan selalu fitur telepon whats app untuk keamanan berkomunikasi terima kasih buka setiap hari pukul 9 pagi sd 6 sore sabtu minggu hari libur tetap buka more info please call sms whats app pukul 8 pagi sd 11 malam setiap hari,dp10 km10000 glc300 amg 2023 black glc 300 reg 2024 autohigh
948240607,2026-09-18T14:32:40+07:00,DP RENDAH - Mazda CX-5 2.5 Touring Bensin-AT 2019,".
DP RENDAH - Mazda CX-5 2.5 Touring Bensin-AT 2019 Abu-Abu 
.
Harga Cash : Hubungi Saya / Chat Me 
Harga Credit : Rp.  292,000,000 ,-
TDP :  33,000,000
Angsuran 4 Tahun : Rp. 8,900,000 ,-
Angsuran 5 Tahun silahkan hubungi untuk informasi lebih lanjut
.
Beli Mobil Terus Untung!!
Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000!
*S&K berlaku
.
Keunggulan Unit
1. Pajak : April 2026
2. Odometer : 121.xxx 
3. Like New
4. Tangan Pertama
5. Atas nama  : Perorangan
6. Plat Genap
.
GRATIS HOME TEST DRIVE
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT

TDP promo hanya Berlaku jika:
- BI checking Bersih (tidak pernah ada keterlambatan pembayaran)
- Rumah Milik Pribadi
- Pemasukan/Gaji= 3x Angsuran.
*Bisa di bantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku)
.
Kunjungi kami di
OLXmobbi Bekasi
Jl. Jend. Sudirman No.1, Kranji, Kec. Bekasi Bar., Kota Bks, Jawa Barat KODE POS 86820
.
Mitha Indah Sari - Sales Advisor
OLXmobbi
Ahlinya Mobil Bekas Berkualitas",Mazda,Lainnya,2019,otomatis,122500,292000000,Individu,Jakarta D.K.I.,4,Cepat,7,17500,Dealer,Tidak,uang muka rendah mazda cx5 25 touring bensinat 2019 abuabu harga tunai hubungi saya chat me harga credit rp 292000000 total uang muka 33000000 angsuran 4 tahun rp 8900000 angsuran 5 tahun silahkan hubungi untuk informasi lebih lanjut beli mobil terus untung beli mobil dan dapatkan bonus saldo digital hingga rp1500000 sk berlaku keunggulan unit 1 pajak april 2026 2 odometer 121xxx 3 like new 4 tangan pertama 5 atas nama perorangan 6 plat nomor genap gratis home test drive pembayaran booking fee pelunasan hanya melalui no rekening 2061888995 bca an serasi mitra mobil pt total uang muka promo hanya berlaku jika bi checking bersih tidak pernah ada keterlambatan pembayaran rumah milik pribadi pemasukangaji 3x angsuran bisa di bantu rumah kontrak dan bi checking bermasalah dengan total uang muka 30 sk berlaku kunjungi kami di olxmobbi bekasi jl jend sudirman no1 kranji kec bekasi bar kota bks jawa barat kode pos 86820 mitha indah sari sales advisor olxmobbi ahlinya mobil bekas berkualitas,uang muka rendah mazda cx5 25 touring bensinat 2019
948341561,2026-09-23T10:53:20+07:00,LIMITED LOW ODO Mini Cooper S F56  Limited Resolute Edition 2022,"Mini Cooper S F56 
Limited Resolute Edition 2022

NIK 2022
Pajak 10 2026
Odo 10rb Miles
Plat B Genap 
2.0L B48 Twin-Scroll Turbo
Rebel Green Metallic (Rare)
Resolute Edition (Limited)
Low Odometer

MINI Indonesia Warranty:
Free Service sd Aug 2027

Resolute Edition spec:
Gold-Bronze body accents
Gloss black ""pulse"" wheels
""Resolute"" Gold-Bronze sticker
""Resolute"" Gold-Bronze Roof
""Resolute"" Checkered seats
""Resolute"" dashboard
""Resolute"" Steering wheel
""Resolute"" sill plates

Spec:
2.0l Inline-4 B48 Turbo
Twin-Scroll Turbocharger
DCT transmission
Panoramic Sunroof
Black Headliners
Union Jack Taillights
Mini Rebel Green metallic
Mini Facelift S ""Resolute"" Bodykits
Mini Facelift S ""Resolute"" Rims
Mini Ambient Lights interface
Carplay/Android auto
Facelift Mini Multimedia
Facelift Mini Speedometer
Facelift Mini ""Resolute"" Steering wheel

*KHUSUS Paket Kredit
DP Rendah:
OTR 689
TDP 149
Angs 17,420,000 (5th)
Asuransi Kombinasi

*Pengajuan

*Bonus*:
1. Free Premium detailing interior exterior dan mesin.
2. Free fogging anti bacterial n virus.
3. Garansi mesin dan transmisi 1th by Otospector
4. ⁠Emergency Towing coverage.
5. ⁠Free Jasa Service seumur hidup.
6. Garansi sertifikat lulus Inspeksi by Otospector.

Promo Special:
1. *PROMO BUNGA 0%*
2. *PROMO BUNGA RENDAH BCAF*
3. *PROMO TDP RENDAH*

Cash 770

Terima tukar tambah 

Lokasi: Garasi Bloko",Mini,Cooper,2022,manual,7500,689000000,Individu,Jakarta D.K.I.,1,Cepat,4,1875,Dealer,Ya,mini cooper s f56 limited resolute edition 2022 nik 2022 pajak 10 2026 odometer 10rb miles plat nomor b genap 20l b48 twinscroll turbo rebel green metallic rare resolute edition limited rendah odometer mini indonesia garansi free service sd aug 2027 resolute edition spec goldbronze body accents gloss black pulse wheels resolute goldbronze sticker resolute goldbronze roof resolute checkered seats resolute dashboard resolute steering wheel resolute sill plates spec 20l inline4 b48 turbo twinscroll turbocharger dct transmission panoramic sunroof black headliners union jack taillights mini rebel green metallic mini facelift s resolute bodykits mini facelift s resolute rims mini ambient lights interface carplayandroid auto facelift mini multimedia facelift mini speedometer facelift mini resolute steering wheel khusus paket kredit uang muka rendah harga jalan 689 total uang muka 149 angsuran 17420000 5th asuransi kombinasi pengajuan bonus 1 free premium detailing interior exterior dan mesin 2 free fogging anti bacterial n virus 3 garansi mesin dan transmisi 1th by otospector 4 ⁠emergency towing coverage 5 ⁠free jasa service seumur hidup 6 garansi sertifikat lulus inspeksi by otospector promo special 1 promo bunga 0 2 promo bunga rendah bcaf 3 promo total uang muka rendah tunai 770 terima tukar tambah lokasi garasi bloko,limited rendah odometer mini cooper s f56 limited resolute edition 2022
