id_iklan,tanggal_posting,status_iklan_terjual,judul,deskripsi,merek,model,tahun,transmisi,jarak_tempuh,harga,tipe_penjual_badge,lokasi
946719075,2026-09-16T11:05:15+07:00,Tersedia,NISSAN XTRAIL 2.5 AT 2018 KM 74RB,"Nissan Xtrail 2.5 At 2018

Credit price 188jt

Rare item!!!

Well maitenance

Fast moving
Perorangan
Pajak on bln 11-2026
Start stop engine
Adjustable Seats
Sensor Parkir
Central Locking
Keyless Entry
Jok kulit
Electric seat
Power Door  GK
Rear Parking Sensors
360 Camera
Eksterior mulus
Interior sangat terawat
Mesin kering
Kaki kaki aman
Mobil siap pakai

FULL SPECS
Dijamin Odomater asli dan bukan rekayasa. 

Tersedia proses credit yang mudah dan terpercaya. 
Untuk proses kredit kami bantu Samapi approve

Sangat cocok untuk yang cari mobil siap pakai dan bagus. 

SECOND RASA BARU!! 

#Jaminan BEBAS TABRAK & BANJIR
#Surat2 dijamin asli keabsahannya
#Garansi uang 100% kembali


Kami juga melayani
- jual beli
- tukar tambah
- cash dan kredit



Wtc mangga 2
Lantai 3 No 10
Abba cars",Nissan,Lainnya,,Lainnya,65.000-70.000,188000000.0,Individu,Jakarta D.K.I.
948319149,2026-09-22T12:20:52+07:00,Tersedia,KM Rendah - Honda Brio Satya 1.2 E Bensin-AT 2016,"""KM Rendah - Honda Brio Satya 1.2 E Bensin-AT 2016
.
Harga Credit : Rp100,000,000
Harga Cash : Rp110,000,000
. 
TDP : Rp10,000,000
. 
Angsuran 4 Tahun : Rp0,,Rp0
Angsuran 5 Tahun : Rp2,900,000
.

.
- Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
- 1000+ Pilihan Unit (Cari Unit Tertentu? Chat Saja)
- Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000
- Dapatkan Promo Voucher Service
- Tambahan Asuransi TLO Untuk Pembelian Cash
*S&K berlaku
.
Spesifikasi Unit : 
1. Pajak Agu 2026
2. Odometer 76rb+ Km
3. Plat : Genap
4. Surat-surat Jaminan Asli dan Sesuai
5. Garansi 1 Tahun (S&K Berlaku)
.
Keunggulan Model :
• Cocok buat kendaraan dalam kota dengan konsumsi BBM sd 13-16 KM/L
• Car of the Year – Indonesia Car of the Year (ICOTY 2014-2015)
• Best City Car for Young Generation – Car of the Year 2018
• Jaringan bengkel luas ada dimana-mana
• Nilai jual kembali tinggi dan stabil di pasar mobil bekas Indonesia, khususnya Jabodetabek
• Suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau
• Cocok untuk berbagai kebutuhan: keluarga, komuter harian di Jakarta, perjalanan luar kota, atau adventure ringan
• Biaya operasional rendah dan sangat cocok untuk daily commute di Jakarta serta kota besar lainnya
.
Mengapa Anda harus membeli mobil di OLXmobbi?
- Gratis Garansi hingga 1 tahun
- Voucher Biaya Jasa Perawatan
- FREE HOME TEST DRIVE
*S&K Berlaku
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT
.
Kunjungi kami di
OLXmobbi Buaran
Jl. Radin Inten II No.1, RT.8/RW.14, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 1602391
.
Maya Maya - Sales Advisor
OLXmobbi Buaran
Ahlinya Mobil Bekas Kualitas""",Honda,Lainnya,,Lainnya,75.000-80.000,100000000.0,Individu,Jakarta D.K.I.
947970258,2026-09-06T10:03:13+07:00,Tersedia,Km 7 ribuan byd seal premium 2024 atlantis grey,"DIJUAL

BYD Seal Premium EV AT Atlantis Grey NIK 2024, PAJAK BULAN 10 (2026), ODOMETER VERY LOW 7RB AN PERAK KM

GARANSI BYD 6 TAHUN ATAU 150.000 KM, GARANSI BATERAI 8 TAHUN


OTR Kredit 460 JT
OTR CASH 510 JT NEGO

PLAT B GENAP ( fnp ) 


Spesifikasi :
• Tangan Pertama Dari Baru, PT
• Portable Charger Tersedia
• Panoramic Glass Roof
• Dynaudio Sound System With Subwoofer
• Kapasitas Batre 82.56 kWh 230 kW (360 Nm) Blade Battery
• Jarak Tempuh Full Batre NEDC Combined Cycle 650 KM
• Akselerasi 0-100 km/jam dalam 5,9 Detik
• AC charging (0-100%) 11,3 Jam
• Ambience Lighting, Flush Door Handle, Wireless Charging With NFC
• Paddle Shift With Adaptive Cruise Control
• Speedo Meter Instrument Cluster With Track Pad
• 15.6-inch Adaptive Rotating Touch Screen With Apple Carplay And Android Auto (bisa di putar Landscape/Potrait)
• Electric Black Leather Seat With Lumbar Support (L/R)
• Crystal LED Combination Headlights
• Boundless One-piece Through LED Taillight
• SRS Airbags, RCTA, RCTB, LCW, BSD, LDW, AEB COMPLETE SAFETY CAR
• 360 View Parking Camera, Parking Sensor
• Power Back Door
• Kaca Film Vkool
• Kunci Cadangan, NFC Card, Buku Service Tersedia


proses kredit bisa dibantu( rumah sewa dll s&k)
ktp daerah bisa (daerah tertentu)..
Terima jual-beli ,tukar tambah ( cash / kredit )
Unit tidak bekas tabrakan dan banjir (boleh cek ke bengkel resmi dulu ) . 

Minat cepat hubungi 
Regina ( call / WA )",BYD,Lainnya,,Lainnya,5.000-10.000,460000000.0,Individu,Jakarta D.K.I.
948343962,2026-09-23T15:33:36+07:00,Tersedia,Pajak Panjang - Toyota Kijang Innova 2.0 V Luxury Bensin-AT 2021,"""Pajak Panjang - Toyota Kijang Innova 2.0 V Luxury Bensin-AT 2021
.
Harga Credit : Rp284,000,000
Harga Cash : Rp293,000,000
.
Mau Setting TDP atau Angsuran? Langsung Chat Aja.
.
FREE ASURANSI TLO UNTUK PEMBELIAN CASH
.

- Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
- 1000+ Pilihan Unit (Cari Unit Tertentu? Chat Saja)
- Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000
- Dapatkan Promo Voucher Service
- Tambahan Asuransi TLO Untuk Pembelian Cash
*S&K berlaku
.
Spesifikasi Unit :

1. Pajak Jun 2027
2. Odometer 93rb+ Km
3. Plat : Genap
4. Surat-surat Jaminan Asli dan Sesuai
5. Garansi 1 Tahun (S&K Berlaku)
.
Keunggulan Model :
• Best MPV - Otomotif Awards , Mobil Legenda kebanggaan Rakyat indonesia, Beli kijang Hati Tenang
• Perawatan Gampang ada dimana-mana dan part terjangkau (Filter solar hanya 60Rb)
• Purna jual kembali terjaga
• Jaringan bengkel luas ada dimana-mana
• Nilai jual kembali tinggi dan stabil di pasar mobil bekas Indonesia, khususnya Jabodetabek
• Suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau
• Cocok untuk berbagai kebutuhan: keluarga, komuter harian di Jakarta, perjalanan luar kota, atau adventure ringan
• Kabin lega dan fleksibel, sangat ideal untuk keluarga besar atau angkutan penumpang
.
Mengapa Anda harus membeli mobil di OLXmobbi?

- Gratis Garansi hingga 1 tahun
- Voucher Biaya Jasa Perawatan
- FREE HOME TEST DRIVE
*S&K Berlaku
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT
.
ITC Cempaka Mas
Sebelah Maxi Pool & Cafe, Blue Zone, ITC Cempaka Mas, Jl. Cemp. Mas Tim. No.586 Basement 1, RW.8, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 1614616
.
Gina - Sales Advisor
OLXmobbi Cempaka Mas
Ahlinya Mobil Bekas Kualitas""",Toyota,Lainnya,,Lainnya,90.000-95.000,284000000.0,Individu,Jakarta D.K.I.
947869162,2026-09-01T16:24:44+07:00,Tersedia,[ KM LOW ] Mercedes Benz Mercy E250 E 250 Coupe AMG AT 2013 2014,"BELI MOBIL TANPA KHAWATIR BERGARANSI 5 TAHUN!

Mercedes Benz Mercy E250 E 250 Coupe AMG AT Merah NIK 2013, PAJAK BULAN 11 (2025), ODOMETER ANTIK LOW 45RB KM
-
Focus Motor Belanja Mobil 26 Tahun Membangun Kepercayaan.
Nikmati standar baru kepemilikan mobil bekas dengan garansi komprehensif hingga 5 TAHUN untuk 155 KOMPONEN. BERSERTIFIKAT, BERPOLIS, dan didukung layanan CUSTOMER SERVICE PERSONAL untuk pengalaman berkendara yang aman dan tanpa khawatir.
-

-UNIT 100% BEBAS TABRAK DAN BEBAS BANJIR (garansi uang kembali)
-Dokumen ABSAH
-Bonus!
Free Detailing (pembersihan) 2x (1 tahun)

-
OTR KREDIT 440JT
OPEN BY CALL

Bunga 0%
TDP 373,634,000
Angsuran 18,667,000 x11

DP Minim
Tdp 168jt
Angs 12,526,500 x47 tlo

Untuk request DP / Hitungan lain, silakan hubungin kami

Harga kredit tertera adalah harga minimal kredit dengan tenor 4 & 5 tahun, diluar itu mengikuti harga Cash (karena kami mensubsidi refund bunga kepada anda)
-
Spesifikasi :
* Engine 1991 cc 211 Hp (350 Nm) Turbocharged
* Panoramic Sunroof
* Acceleration 0-100 Kph in 7.1 Sec
* Harman Kardon Audio
* 7G-Tronic Transmission
* Paddle Shift, AC Digital Dual Zone
* MID Digital
* Infotainment System Multimedia With Phone Connection
* Electric Semi Bucket Seat With  Memory Seat
* LED Projector Headlamp
* LED Tail Light
* SRS Airbags, EBD, ABS, BA, VSC, COMPLETE SAFETY CAR
* Kaca Film Vkool
* Buku-buku, Kunci Serep Tersedia

LOKASI : Bursa Otomotif Mangga Dua Square, Focus Motor, Jakarta Utara. (6MF) (C)",Mercedes-Benz,Lainnya,,Lainnya,40.000-45.000,440000000.0,Individu,Jakarta D.K.I.
947290525,2026-09-23T16:57:42+07:00,Tersedia,Lexus LX600 AT 7-Seater 2024 Hitam Km17rb B1774WJI,"Lexus LX600 AT 7-Seater 2024

- New Model
- 7-Seater
- Sunroof
- 3TV
- GPS Navigation
- Hidrolic
- Audio Mark Levinson
- Black On Black
- Power Back Door
- Km 17.000 Antik
- Warna Hitam
- Nopol B Genap
- Pajak 07-2027
- Tangan 1 Dari Baru
- Atas Nama Perorangan
- Nik 2024
- Warranty ATPM 05-04-2027
- Free Service 05-04-2029
- Perlengkapan Kendaraan Komplit
- Dijamin Kondisi Istimewa

GARANSI :
1. Keabsahan Dokumen Kendaraan
2. Mobil tidak bekas tabrakan & tidak bekas banjir
3. Bisa di cek mesin, electrical, dan history service sebelumnya di bengkel resmi / ATPM

Harga Kredit 3.000
Harga Cash 3.150

Silakan cek stok dan follow IG kami :
@lbautosunter
@lbauto_official


LB AUTO BINTARO
Bursa Mobil Bintaro Blok A28 dan A29

LB AUTO SUNTER
(Masuk dari pintu 1)
Bursa Otomotif Sunter
Blok J8-10 & Blok KA2-8
Jl Yos Sudarso Kav 87-88, Jakarta Utara",Lexus,Lainnya,,Lainnya,15.000-20.000,3000000000.0,Individu,Jakarta D.K.I.
948351190,2026-09-23T16:20:26+07:00,Tersedia,KM Rendah - Toyota Yaris 1.5 G Bensin-AT 2019,"""KM Rendah - Toyota Yaris 1.5 G Bensin-AT 2019
.
Harga Credit : Rp152,000,000
Harga Cash : Rp162,000,000
. 
TDP : Rp15,000,000
. 
Angsuran 4 Tahun : Rp0,,Rp0
Angsuran 5 Tahun : Rp3,800,000
.

.
- Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
- 1000+ Pilihan Unit (Cari Unit Tertentu? Chat Saja)
- Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000
- Dapatkan Promo Voucher Service
- Tambahan Asuransi TLO Untuk Pembelian Cash
*S&K berlaku
.
Spesifikasi Unit : 
1. Pajak Okt 2026
2. Odometer 60rb+ Km
3. Plat : Ganjil
4. Surat-surat Jaminan Asli dan Sesuai
5. Garansi 1 Tahun (S&K Berlaku)
.
Keunggulan Model :
• Best Hatchback for Young Professionals - Autotrader New Car Awards (2017)
• Cocok untuk eksekutif muda
• Jaringan bengkel luas ada dimana-mana
• Konektifitas Apple Carplay dan Android Auto
• Nilai jual kembali tinggi dan stabil di pasar mobil bekas Indonesia, khususnya Jabodetabek
• Suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau
• Cocok untuk berbagai kebutuhan: keluarga, komuter harian di Jakarta, perjalanan luar kota, atau adventure ringan
.
Mengapa Anda harus membeli mobil di OLXmobbi?
- Gratis Garansi hingga 1 tahun
- Voucher Biaya Jasa Perawatan
- FREE HOME TEST DRIVE
*S&K Berlaku
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT
.
Kunjungi kami di
OLXmobbi Buaran
Jl. Radin Inten II No.1, RT.8/RW.14, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 1616187
.
Imam Ziaul Abror - Sales Advisor
OLXmobbi Buaran
Ahlinya Mobil Bekas Kualitas""",Toyota,Lainnya,,Lainnya,60.000-65.000,152000000.0,Individu,Jakarta D.K.I.
944780605,2026-09-18T11:18:20+07:00,Tersedia,TOYOTA FORTUNER VRZ 2017 AT MATIC GENAP,"TOYOTA FORTUNER VRZ 2017 AT MATIC GENAP

UNIT MOBIL TERAWAT, SIAP PAKAI DAN DIJAMIN TIDAK BEKAS BANJIR/TABRAK!! 

FAST RESPON HUB NO WA YANG TETERA!!

BONUS BAHAGIA!!
•⁠  ⁠FREE Garansi mesin & matic 1 tahun
•⁠  ⁠FREE layanan emergency call 24 JAM 
•⁠  ⁠FREE salon dan detailing (TERIMA RAPIH DAN SIAP PAKAI)

OTR KREDIT 355 JT
OTR CASH BY JAPRI

PAKET DP:

DP 50JT
9.469.000 x 47 (4th)
8.246.000 x 59 (5th)

DP DAN ANGSURAN BISA DISESUAIKAN KEINGINAN CUST
(BOLEH JAPRI UNTUK HITUNGAN YANG DI-INGINKAN)

SPESIFIKASI:
•⁠  ⁠Thn: 2017
•⁠  ⁠Transmisi: Matic 
•⁠  ⁠Bahan Bakar: Bensin 
•⁠  ⁠CC: 2.393 CC
•⁠  ⁠Penggerak: RWD (roda belakang)
•⁠  ⁠Kilometer: 144.000 
•⁠  ⁠Pajak: 05.26
•⁠  ⁠Plat: GANJIL  (B BEKASI)
•⁠  A/N Pribadi / Perorangan
•⁠  Surat2 lengkap dan 100% asli (Faktur, Sertifikat, FC KTP)

BISA CEK UNIT LANGSUNG DAN TEST DRIVE (Boleh hub WA untuk janjian / serlok)

Lokasi Unit: JAYA BARU, Jl. Margonda Raya No. 478 KOTA DEPOK, JAWA BARAT",Toyota,Lainnya,,Lainnya,140.000-145.000,345000000.0,Individu,Jakarta D.K.I.
948319218,2026-09-22T12:23:31+07:00,Tersedia,Pajak Panjang - Daihatsu Sigra 1.2 X Bensin-AT 2025,"""Pajak Panjang - Daihatsu Sigra 1.2 X Bensin-AT 2025
.
Harga Credit : Rp145,000,000
Harga Cash : Rp153,000,000
.
Mau Setting TDP atau Angsuran? Langsung Chat Aja.
.
FREE ASURANSI TLO UNTUK PEMBELIAN CASH
.
- Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
- 1000+ Pilihan Unit (Cari Unit Tertentu? Chat Saja)
- Beli mobil dan dapatkan bonus saldo digital hingga Rp1.500.000
- Dapatkan Promo Voucher Service
- Tambahan Asuransi TLO Untuk Pembelian Cash
*S&K berlaku
.
Spesifikasi Unit : 
1. Pajak Mei 2027
2. Odometer 24rb+ Km
3. Plat : Genap
4. Surat-surat Jaminan Asli dan Sesuai
5. Garansi 1 Tahun (S&K Berlaku)
.
Keunggulan Model :
• LCGC dengan value for money tinggi, irit BBM dan biaya perawatan rendah
• Cocok untuk keluarga muda dan daily use di kota
• Part mudah dan murah, jaringan bengkel luas
• Nilai jual kembali tinggi dan stabil di pasar mobil bekas Indonesia, khususnya Jabodetabek
• Suku cadang original dan aftermarket mudah didapatkan di bengkel resmi maupun umum dengan harga terjangkau
• Cocok untuk berbagai kebutuhan: keluarga, komuter harian di Jakarta, perjalanan luar kota, atau adventure ringan
• Biaya operasional rendah dan sangat cocok untuk daily commute di Jakarta serta kota besar lainnya
.
Mengapa Anda harus membeli mobil di OLXmobbi?
- Gratis Garansi hingga 1 tahun
- Voucher Biaya Jasa Perawatan
- FREE HOME TEST DRIVE
*S&K Berlaku
.
Pembayaran Booking Fee / Pelunasan hanya melalui no rekening 2061/888/995 - BCA - an SERASI MITRA MOBIL PT
.
Kunjungi kami di
OLXmobbi Buaran
Jl. Radin Inten II No.1, RT.8/RW.14, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 1621674
.
Maya Maya - Sales Advisor
OLXmobbi Buaran
Ahlinya Mobil Bekas Kualitas""",Daihatsu,Lainnya,,Lainnya,20.000-25.000,145000000.0,Individu,Jakarta D.K.I.
948354047,2026-09-23T18:41:56+07:00,Tersedia,DAIHATSU TERIOS R 2022 MATIC,"DIJUAL TERIOS R 2022 MATIC HITAM - FULL ORI SIAP PAKAI 

SUV 7 Seater Tipe Tertinggi!
NOPOL B GANJIL JAKARTA SELATAN 
KM 96rb Low 
Tangan pertama dari baru 
 Matic AT halus responsif no jedug
Mesin kering, AC dingin, Kaki senyap
Interior ori bersih, jok kulit, 3 baris lega
Bebas Banjir & Tabrak - Jamin 
 Surat lengkap, Pajak hidup 05-2027, Kunci ada 2
Garansi mesin dan matic 1Thn

Harga Cash 205JT Nego Sampai Deal
Kredit: 
TDP 10JT Cicilan 5,075,000 x 5Thn
Proses dibantu cepat aman dan mudah 

Lokasi 
HARJA MOBILINDO 1
POSH (Pusat Otomotif Sentra Harapan Indah) Blok G2-3 
Harapan Indah Bekasi- Bisa cek unit setiap hari,
Cash / Kredit / Tukar Tambah BISA",Daihatsu,Lainnya,,Lainnya,90.000-95.000,205000000.0,Individu,Jakarta D.K.I.
